"Data","Último","Abertura","Máxima","Mínima","Var%"
"08.10.2018","3,7660","3,8373","3,8453","3,7002","-1,86%"
"07.10.2018","3,8373","3,8373","3,8373","3,8373","-0,10%"
"05.10.2018","3,8413","3,8742","3,8950","3,8376","-0,86%"
"04.10.2018","3,8745","3,9017","3,9355","3,8732","-0,69%"
"03.10.2018","3,9015","3,9415","3,9415","3,8220","-1,01%"
"02.10.2018","3,9414","4,0186","4,0188","3,9058","-1,91%"
"01.10.2018","4,0181","4,0500","4,0633","4,0037","-0,89%"
"30.09.2018","4,0542","4,0499","4,0542","4,0499","0,13%"
"28.09.2018","4,0491","4,0147","4,0580","3,9898","0,92%"
"27.09.2018","4,0123","4,0343","4,0553","3,9665","-0,49%"
"26.09.2018","4,0322","4,0792","4,0945","4,0095","-1,07%"
"25.09.2018","4,0757","4,0893","4,1418","4,0682","-0,42%"
"24.09.2018","4,0928","4,0656","4,0975","4,0362","1,02%"
"23.09.2018","4,0515","4,0514","4,0515","4,0514","-0,00%"
"21.09.2018","4,0516","4,0770","4,0958","4,0278","-0,63%"
"20.09.2018","4,0771","4,1273","4,1311","4,0671","-1,32%"
"19.09.2018","4,1315","4,1631","4,1762","4,0976","-0,69%"
"18.09.2018","4,1604","4,1342","4,1651","4,1174","0,68%"
"17.09.2018","4,1324","4,1744","4,2041","4,1159","-0,99%"
"16.09.2018","4,1736","4,1735","4,1736","4,1735","-0,01%"
"14.09.2018","4,1742","4,2063","4,2105","4,1579","-0,80%"
"13.09.2018","4,2077","4,1616","4,2101","4,1244","1,20%"
"12.09.2018","4,1579","4,1528","4,1677","4,1106","0,11%"
"11.09.2018","4,1535","4,0864","4,1798","4,0864","1,63%"
"10.09.2018","4,0867","4,0679","4,1280","4,0524","1,02%"
"09.09.2018","4,0453","4,0453","4,0453","4,0453","-0,35%"